"pid","grp","duration","entry","exit","num","ind"
2796,"inactive",273,175,293,6294,2
2808,"inactive",280,183,302,6294,2
2809,"inactive",285,189,309,6294,2
2812,"inactive",289,194,312,6294,2
2813,"inactive",282,185,306,6294,2
2816,"inactive",295,200,315,6294,2
2868,"inactive",276,178,296,6294,2
2870,"inactive",287,191,307,6294,2
2876,"inactive",270,172,288,6294,2
2877,"inactive",277,180,295,6294,2
2879,"inactive",285,188,302,6294,2
2893,"inactive",298,203,320,6294,2
2894,"inactive",289,193,306,6294,2
2900,"inactive",283,185,300,6294,2
2905,"inactive",281,183,300,6294,2
2916,"inactive",293,198,313,6294,2
2919,"inactive",284,187,302,6294,2
2923,"inactive",285,188,307,6294,2
2932,"inactive",297,201,322,6294,2
2938,"inactive",287,191,306,6294,2
2939,"inactive",287,191,313,6294,2
2953,"inactive",302,208,322,6294,2
2956,"inactive",291,195,313,6294,2
2973,"inactive",309,215,330,6294,2
2980,"inactive",308,214,332,6294,2
2985,"inactive",302,208,321,6294,2
2989,"inactive",304,210,323,6294,2
2996,"inactive",315,222,337,6294,2
3002,"inactive",305,210,332,6294,2
3018,"inactive",289,193,311,6294,2
3021,"inactive",313,218,334,6294,2
3028,"inactive",302,208,325,6294,2
3030,"inactive",295,199,313,6294,2
3032,"inactive",303,209,323,6294,2
3034,"inactive",301,207,320,6294,2
3035,"inactive",314,220,335,6294,2
3049,"inactive",317,223,337,6294,2
3052,"inactive",289,193,310,6294,2
3055,"inactive",301,207,322,6294,2
3060,"inactive",304,209,326,6294,2
3071,"inactive",297,202,314,6294,2
3072,"inactive",284,187,305,6294,2
3083,"inactive",298,203,316,6294,2
3084,"inactive",282,184,304,6294,2
3088,"inactive",317,223,339,6294,2
3097,"inactive",309,215,330,6294,2
3104,"inactive",287,190,311,6294,2
3108,"inactive",313,219,333,6294,2
3114,"inactive",296,200,314,6294,2
3117,"inactive",320,226,340,6294,2
3119,"inactive",294,198,312,6294,2
3125,"inactive",310,216,332,6294,2
3130,"inactive",308,214,330,6294,2
3138,"inactive",302,208,322,6294,2
3143,"inactive",322,228,339,6294,2
3145,"inactive",284,187,305,6294,2
3147,"inactive",305,211,326,6294,2
3153,"inactive",313,219,335,6294,2
3154,"inactive",310,215,329,6294,2
3157,"inactive",328,235,347,6294,2
3159,"inactive",302,207,323,6294,2
3167,"inactive",329,235,352,6294,2
3173,"inactive",303,208,325,6294,2
3185,"inactive",321,227,342,6294,2
3192,"inactive",310,215,328,6294,2
3206,"inactive",300,206,320,6294,2
3209,"inactive",320,226,340,6294,2
3210,"inactive",304,209,326,6294,2
3215,"inactive",305,210,326,6294,2
3216,"inactive",333,240,359,6294,2
3219,"inactive",322,228,341,6294,2
3230,"inactive",307,212,327,6294,2
3231,"inactive",306,211,327,6294,2
3234,"inactive",316,222,337,6294,2
3235,"inactive",329,235,350,6294,2
3244,"inactive",319,225,339,6294,2
3249,"inactive",303,208,320,6294,2
3250,"inactive",321,227,340,6294,2
3257,"inactive",302,207,322,6294,2
3260,"inactive",302,207,321,6294,2
3261,"inactive",322,227,343,6294,2
3268,"inactive",312,217,332,6294,2
3284,"inactive",323,229,339,6294,2
3296,"inactive",314,220,335,6294,2
3310,"inactive",299,205,317,6294,2
3317,"inactive",299,205,317,6294,2
3321,"inactive",325,230,345,6294,2
3323,"inactive",308,214,329,6294,2
3329,"inactive",298,203,320,6294,2
3332,"inactive",316,222,334,6294,2
3335,"inactive",304,209,323,6294,2
3343,"inactive",340,247,363,6294,2
3350,"inactive",327,233,349,6294,2
3351,"inactive",337,244,360,6294,2
3359,"inactive",315,221,335,6294,2
3360,"inactive",315,221,337,6294,2
3365,"inactive",327,233,354,6294,2
3366,"inactive",313,218,332,6294,2
3379,"inactive",311,216,334,6294,2
3380,"inactive",324,229,344,6294,2
3393,"inactive",344,250,365,6294,2
3395,"inactive",332,238,351,6294,2
3398,"inactive",327,234,345,6294,2
3399,"inactive",332,238,349,6294,2
3402,"inactive",328,234,348,6294,2
3403,"inactive",333,239,354,6294,2
3430,"inactive",343,249,362,6294,2
3435,"inactive",331,237,350,6294,2
3437,"inactive",332,238,357,6294,2
3442,"inactive",310,215,337,6294,2
3447,"inactive",329,235,350,6294,2
3459,"inactive",323,228,340,6294,2
3460,"inactive",330,236,353,6294,2
3487,"inactive",334,240,350,6294,2
3493,"inactive",317,223,341,6294,2
3506,"inactive",326,232,348,6294,2
3510,"inactive",338,244,356,6294,2
3515,"inactive",324,229,344,6294,2
3518,"inactive",325,230,347,6294,2
3523,"inactive",341,248,360,6294,2
3541,"inactive",328,234,347,6294,2
3546,"inactive",337,243,357,6294,2
3560,"inactive",336,242,364,6294,2
3562,"inactive",332,238,351,6294,2
3563,"inactive",327,233,345,6294,2
3565,"inactive",339,245,360,6294,2
3569,"inactive",331,236,349,6294,2
3571,"inactive",320,225,337,6294,2
3590,"inactive",349,256,373,6294,2
3592,"inactive",337,243,358,6294,2
3600,"inactive",368,276,386,6294,2
3601,"inactive",332,238,354,6294,2
3611,"inactive",345,251,365,6294,2
3636,"inactive",354,261,375,6294,2
3646,"inactive",352,259,368,6294,2
3656,"inactive",350,256,375,6294,2
3667,"inactive",347,253,365,6294,2
3668,"inactive",340,247,361,6294,2
3672,"inactive",345,251,364,6294,2
3676,"inactive",347,254,369,6294,2
3680,"inactive",350,256,371,6294,2
3681,"inactive",347,253,364,6294,2
3683,"inactive",338,244,360,6294,2
3707,"inactive",348,254,366,6294,2
3714,"inactive",346,252,368,6294,2
3719,"inactive",339,245,364,6294,2
3724,"inactive",343,248,361,6294,2
3725,"inactive",348,255,370,6294,2
3726,"inactive",344,250,366,6294,2
3728,"inactive",360,268,381,6294,2
3729,"inactive",326,232,346,6294,2
3733,"inactive",368,276,394,6294,2
3738,"inactive",334,240,357,6294,2
3744,"inactive",341,247,365,6294,2
3746,"inactive",335,241,357,6294,2
3770,"inactive",324,229,345,6294,2
3775,"inactive",350,256,371,6294,2
3787,"inactive",341,247,359,6294,2
3788,"inactive",354,260,371,6294,2
3794,"inactive",380,289,400,6294,2
3820,"inactive",363,271,383,6294,2
3836,"inactive",374,283,394,6294,2
3852,"inactive",347,253,368,6294,2
3864,"inactive",354,260,375,6294,2
3869,"inactive",364,272,386,6294,2
3871,"inactive",344,249,365,6294,2
3873,"inactive",369,277,395,6294,2
3882,"inactive",359,267,376,6294,2
3890,"inactive",355,261,375,6294,2
3917,"inactive",356,262,377,6294,2
3919,"inactive",368,276,384,6294,2
3936,"inactive",362,270,386,6294,2
3938,"inactive",360,268,378,6294,2
3942,"inactive",353,259,373,6294,2
3951,"inactive",365,273,383,6294,2
3987,"inactive",366,274,388,6294,2
3991,"inactive",368,275,389,6294,2
3993,"inactive",373,282,392,6294,2
3998,"inactive",380,290,398,6294,2
4009,"inactive",378,287,401,6294,2
4010,"inactive",370,278,391,6294,2
4016,"inactive",388,297,408,6294,2
4044,"inactive",358,265,381,6294,2
4050,"inactive",375,284,393,6294,2
4059,"inactive",374,282,392,6294,2
4060,"inactive",373,281,394,6294,2
4073,"inactive",368,275,389,6294,2
4078,"inactive",359,266,381,6294,2
4079,"inactive",369,277,387,6294,2
4086,"inactive",381,291,400,6294,2
4092,"inactive",369,277,389,6294,2
4096,"inactive",368,275,391,6294,2
4105,"inactive",366,273,387,6294,2
4112,"inactive",389,299,411,6294,2
4116,"inactive",375,283,395,6294,2
4117,"inactive",353,259,373,6294,2
